lower edge	upper edge	bin center	acc	error
0.000000	0.100000	0.050000	0.035181	0.001960
0.100000	0.200000	0.150000	0.033715	0.001103
0.200000	0.300000	0.250000	0.033464	0.000849
0.300000	0.400000	0.350000	0.031031	0.000682
0.400000	0.500000	0.450000	0.031902	0.000630
0.500000	0.600000	0.550000	0.030642	0.000583
0.600000	0.700000	0.650000	0.030028	0.000576
0.700000	0.800000	0.750000	0.028422	0.000539
0.800000	0.900000	0.850000	0.027115	0.000515
0.900000	1.000000	0.950000	0.025486	0.000503
1.000000	1.100000	1.050000	0.024069	0.000512
1.100000	1.200000	1.150000	0.020873	0.000462
1.200000	1.300000	1.250000	0.020062	0.000478
1.300000	1.400000	1.350000	0.017632	0.000442
1.400000	1.500000	1.450000	0.016133	0.000449
1.500000	1.600000	1.550000	0.014227	0.000446
1.600000	1.700000	1.650000	0.012815	0.000414
1.700000	1.800000	1.750000	0.011258	0.000427
1.800000	1.900000	1.850000	0.009059	0.000397
1.900000	2.000000	1.950000	0.007124	0.000405
