lower edge	upper edge	bin center	acc	error
0.000000	0.025000	0.012500	NaN	NaN
0.025000	0.050000	0.037500	NaN	NaN
0.050000	0.075000	0.062500	NaN	NaN
0.075000	0.100000	0.087500	NaN	NaN
0.100000	0.125000	0.112500	NaN	NaN
0.125000	0.150000	0.137500	NaN	NaN
0.150000	0.175000	0.162500	NaN	NaN
0.175000	0.200000	0.187500	NaN	NaN
0.200000	0.225000	0.212500	NaN	NaN
0.225000	0.250000	0.237500	0.000000	0.000000
0.250000	0.275000	0.262500	0.000000	0.000000
0.275000	0.300000	0.287500	0.000000	0.000000
0.300000	0.325000	0.312500	0.000114	0.000031
0.325000	0.350000	0.337500	0.001359	0.000117
0.350000	0.375000	0.362500	0.003659	0.000212
0.375000	0.400000	0.387500	0.007385	0.000297
0.400000	0.425000	0.412500	0.012901	0.000434
0.425000	0.450000	0.437500	0.018824	0.000561
0.450000	0.475000	0.462500	0.024918	0.000641
0.475000	0.500000	0.487500	0.033585	0.000780
0.500000	0.525000	0.512500	0.041018	0.000884
0.525000	0.550000	0.537500	0.046523	0.000921
0.550000	0.575000	0.562500	0.052147	0.000979
0.575000	0.600000	0.587500	0.058358	0.001059
0.600000	0.625000	0.612500	0.064709	0.001126
0.625000	0.650000	0.637500	0.069617	0.001170
0.650000	0.675000	0.662500	0.071106	0.001154
0.675000	0.700000	0.687500	0.074831	0.001200
0.700000	0.725000	0.712500	0.079908	0.001241
0.725000	0.750000	0.737500	0.079487	0.001230
0.750000	0.775000	0.762500	0.079901	0.001238
0.775000	0.800000	0.787500	0.079378	0.001247
0.800000	0.825000	0.812500	0.081324	0.001240
0.825000	0.850000	0.837500	0.079947	0.001243
0.850000	0.875000	0.862500	0.079121	0.001300
0.875000	0.900000	0.887500	0.077415	0.001354
0.900000	0.925000	0.912500	0.075957	0.001379
0.925000	0.950000	0.937500	0.075548	0.001692
0.950000	0.975000	0.962500	0.065218	0.002930
0.975000	1.000000	0.987500	0.000000	0.000000
