lower edge	upper edge	bin center	acc	error
0.000000	0.025000	0.012500	NaN	NaN
0.025000	0.050000	0.037500	NaN	NaN
0.050000	0.075000	0.062500	NaN	NaN
0.075000	0.100000	0.087500	0.054964	0.002932
0.100000	0.125000	0.112500	0.063847	0.001352
0.125000	0.150000	0.137500	0.055758	0.000936
0.150000	0.175000	0.162500	0.045828	0.000740
0.175000	0.200000	0.187500	0.036347	0.000597
0.200000	0.225000	0.212500	0.026489	0.000436
0.225000	0.250000	0.237500	0.021829	0.000360
0.250000	0.275000	0.262500	0.017068	0.000287
0.275000	0.300000	0.287500	0.013887	0.000241
0.300000	0.325000	0.312500	0.011066	0.000200
0.325000	0.350000	0.337500	0.009449	0.000175
0.350000	0.375000	0.362500	0.012210	0.000242
0.375000	0.400000	0.387500	0.016489	0.000341
0.400000	0.425000	0.412500	0.021712	0.000500
0.425000	0.450000	0.437500	0.023445	0.000577
0.450000	0.475000	0.462500	0.024072	0.000664
0.475000	0.500000	0.487500	0.022079	0.000662
