D1_bins	bin_center	Clean	Messy	Efficiency	Lower error	Upper error
8 25	18.523297491039425	8291.5849609375	7868.037109375	0.9489183487164544	0.03266263428307442	0.03266263428307442
25 50	39.749188687992586	64249.4140625	62210.4296875	0.9682645452141161	0.01047480303587078	0.01047480303587078
50 75	63.58828465928164	194044.453125	176437.109375	0.909261287986121	0.010031207915457209	0.010031207915457209
75 100	87.95383899488134	362746.53125	307502.3125	0.8477057284059143	0.01038881491514533	0.01038881491514533
100 125	112.77211421628189	596192.875	475481.8125	0.7975301826611061	0.009376645668723932	0.009376645668723932
125 150	137.35119407848796	820551.875	603830.375	0.7358832432135994	0.008793442292543257	0.008793442292543257
150 175	162.23801500381114	996532.125	689401.0	0.6918000761892147	0.008351360414835059	0.008351360414835059
175 200	187.0600735125201	1166252.5	733588.3125	0.6290132818579167	0.00797435874353106	0.00797435874353106
200 225	211.82170511044094	1214605.75	689329.0625	0.5675331789759763	0.007960667464491422	0.007960667464491422
225 250	236.37293030419715	1162535.125	597783.0	0.5142063987098885	0.008332620846315445	0.008332620846315445
250 275	261.2445448183727	984502.375	433867.6875	0.44069745133931243	0.009051421795316079	0.009051421795316079
275 300	286.0441831800512	728499.75	308423.9375	0.42336862504070866	0.010066324050197308	0.010066324050197308
300 325	310.6479802143446	446415.0	167852.171875	0.37600029540898044	0.012543722224310785	0.012543722224310785
325 350	335.0964178105122	228476.8125	78080.4140625	0.34174327455001585	0.016685384871380247	0.016685384871380247
350 375	359.8343451864701	98826.078125	32935.46875	0.3332669814979567	0.02519104189411771	0.02519104189411771
375 400	384.12594458438286	34964.984375	12928.60546875	0.3697586514007987	0.044966236607110174	0.044966236607110174
